Light	Herbivory	Iteration	Plant	hac	hexenol	Hexenal
High	nw	it_6	8	0,338199301	8,648671329	5,441055944
High	w	it_6	9	0,239418317	6,122574257	3,851836634
High	w	it_6	10	1,51503125	10,15429688	10,3153125
High	w	it_6	11	1,145489583	6,286614583	7,63546875
High	w	it_6	12	1,637777778	8,81237037	8,945185185
High	w	it_6	13	2,230013423	8,103825503	7,751677852
High	w	it_6	14	2,686134078	6,91575419	9,199664804
High	w	it_6	15	2,30999359	8,116666667	9,158205128
High	w	it_6	16	0,211580132	7,842847682	10,94298013
Low	nw	it_6	17	0,0001	4,650533333	5,877244444
Low	nw	it_6	18	1,168924855	6,943699422	5,585878613
Low	nw	it_6	19	1,545489474	6,281	6,025947368
Low	nw	it_6	20	1,476761538	6,001669231	8,488692308
Low	nw	it_6	21	0,908469636	4,685708502	5,075789474
Low	nw	it_6	22	1,708231884	8,906594203	7,614275362
Low	nw	it_6	23	1,829648649	7,931554054	7,170135135
Low	nw	it_6	24	0,440313043	4,985086957	5,37473913
Low	w	it_6	25	3,943120968	11,47830645	15,66145161
Low	w	it_6	26	2,395413174	7,023952096	8,865508982
Low	w	it_6	27	0,158909697	5,976812121	11,08309091
Low	w	it_6	28	3,055053691	10,59973154	9,951275168
Low	w	it_6	29	2,949482014	8,666402878	11,2718705
Low	w	it_6	30	1,847235537	4,534132231	7,520289256
