Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
F	hipvs	Low_RFR	Low_RFR	1	6	34	86,79029851	74,6880597	18,59261194	26,23776119	2,600723881
F	hipvs	Low_RFR	Low_RFR	2	6	35	102,204	66,20656	13,00856	21,97272	2,435616
F	hipvs	Low_RFR	Low_RFR	3	6	36	115,3437908	37,85856209	9,21254902	15,90751634	2,350542484
A	constitutive	High_RFR	Low_RFR	1	7	1	61,15019481	39,54415584	17,22298701	18,7888961	2,287558442
A	constitutive	High_RFR	Low_RFR	2	7	2	73,72637363	33,4456044	14,27005495	14,54692308	2,099115385
A	constitutive	High_RFR	Low_RFR	3	7	3	31,02965116	24,61651163	7,042697674	5,635988372	1,824686047
A	constitutive	High_RFR	Low_RFR	1	7	4	29,7209622	13,28494845	5,423848797	8,167731959	0,717731959
A	constitutive	High_RFR	Low_RFR	2	7	5	29,4247449	14,98765306	6,17255102	5,574336735	1,302367347
A	constitutive	High_RFR	Low_RFR	3	7	6	23,28133858	10,63476378	5,489645669	5,203976378	0,844645669
A	constitutive	High_RFR	Low_RFR	1	7	7	41,72259494	15,70050633	5,932126582	5,467335443	1,418835443
A	constitutive	High_RFR	Low_RFR	2	7	8	24,45235294	8,666323529	4,348372549	5,091813725	0,927205882
A	constitutive	High_RFR	Low_RFR	3	7	9	40,35861111	15,07666667	4,671838889	6,968277778	1,246044444
B	hipvs	High_RFR	Low_RFR	1	7	10	62,63812155	35,08149171	10,7320442	10,10530387	1,77678453
B	hipvs	High_RFR	Low_RFR	2	7	11	29,7808	20,63086667	6,7938	6,695466667	1,835413333
B	hipvs	High_RFR	Low_RFR	3	7	12	47,81274038	13,25576923	8,932451923	4,664052885	1,348620192
B	hipvs	High_RFR	Low_RFR	1	7	13	52,03874539	11,45306273	7,689667897	10,13948339	0,926656827
B	hipvs	High_RFR	Low_RFR	2	7	14	66,17682927	21,28678862	9,392113821	10,49390244	1,725597561
B	hipvs	High_RFR	Low_RFR	3	7	15	40,64883721	15,97445736	5,930465116	8,184806202	0,70975969
B	hipvs	High_RFR	Low_RFR	1	7	16	87,34639344	34,2504918	8,426622951	13,91878689	2,030590164
B	hipvs	High_RFR	Low_RFR	2	7	17	43,78062893	17,71830189	6,312955975	6,652515723	1,379899371
B	hipvs	High_RFR	Low_RFR	3	7	18	40,26945355	8,941530055	5,543333333	4,818409836	1,040770492
E	constitutive	Low_RFR	Low_RFR	1	7	19	47,70682432	32,39358108	8,256283784	8,825878378	1,479486486
E	constitutive	Low_RFR	Low_RFR	2	7	20	56,51605505	37,59954128	14,92816514	17,64408257	1,392146789
E	constitutive	Low_RFR	Low_RFR	3	7	21	39,53943478	16,87369565	8,220217391	4,816304348	1,361895652
E	constitutive	Low_RFR	Low_RFR	1	7	22	44,8362987	19,23564935	8,72474026	8,854350649	1,745720779
E	constitutive	Low_RFR	Low_RFR	2	7	23	25,96680672	17,79684874	6,121386555	10,3410084	1,089941176
E	constitutive	Low_RFR	Low_RFR	3	7	24	54,94076087	19,97380435	7,180054348	11,38815217	1,395
E	constitutive	Low_RFR	Low_RFR	1	7	25	60,50243902	33,73304878	7,297621951	13,015	1,800920732
